iter	Passed	Remaining
0	42	12764
1	83	12440
2	125	12425
3	164	12181
4	203	12025
5	243	11941
6	284	11923
7	323	11821
8	362	11717
9	401	11657
10	442	11638
11	484	11623
12	523	11562
13	563	11506
14	603	11458
15	644	11441
16	685	11419
17	724	11351
18	765	11325
19	804	11260
20	842	11194
21	882	11146
22	923	11127
23	967	11121
24	1006	11073
25	1045	11013
26	1083	10952
27	1144	11117
28	1199	11206
29	1251	11267
30	1293	11222
31	1333	11168
32	1378	11154
33	1420	11116
34	1459	11054
35	1501	11011
36	1541	10955
37	1581	10901
38	1622	10855
39	1663	10810
40	1703	10762
41	1744	10717
42	1787	10684
43	1829	10642
44	1868	10589
45	1906	10527
46	1948	10486
47	1988	10440
48	2029	10398
49	2070	10353
50	2113	10320
51	2153	10269
52	2206	10280
53	2260	10297
54	2308	10281
55	2363	10299
56	2413	10288
57	2453	10236
58	2495	10192
59	2537	10150
60	2588	10142
61	2629	10095
62	2672	10054
63	2713	10006
64	2752	9952
65	2792	9900
66	2830	9843
67	2868	9786
68	2909	9740
69	2950	9695
70	2989	9641
71	3027	9588
72	3065	9531
73	3102	9475
74	3139	9418
75	3176	9362
76	3213	9305
77	3249	9249
78	3286	9194
79	3323	9140
80	3360	9086
81	3396	9030
82	3434	8979
83	3473	8932
84	3510	8879
85	3547	8827
86	3584	8776
87	3623	8730
88	3662	8682
89	3700	8634
90	3737	8583
91	3774	8533
92	3811	8483
93	3848	8432
94	3887	8388
95	3929	8349
96	3975	8320
97	4014	8274
98	4053	8229
99	4092	8185
100	4132	8142
101	4171	8097
102	4208	8049
103	4246	8003
104	4286	7961
105	4325	7916
106	4362	7868
107	4397	7817
108	4433	7768
109	4470	7721
110	4506	7673
111	4544	7627
112	4582	7583
113	4619	7536
114	4655	7488
115	4692	7443
116	4729	7396
117	4768	7354
118	4806	7309
119	4842	7263
120	4878	7216
121	4921	7180
122	4960	7137
123	4996	7091
124	5034	7047
125	5070	7002
126	5108	6958
127	5162	6936
128	5200	6893
129	5238	6850
130	5275	6805
131	5311	6760
132	5350	6718
133	5387	6674
134	5424	6629
135	5460	6584
136	5496	6539
137	5535	6498
138	5576	6459
139	5613	6415
140	5650	6372
141	5688	6329
142	5723	6283
143	5761	6241
144	5798	6198
145	5835	6154
146	5871	6110
147	5909	6069
148	5948	6027
149	5985	5985
150	6023	5944
151	6061	5901
152	6097	5858
153	6136	5817
154	6172	5774
155	6209	5731
156	6248	5691
157	6285	5648
158	6321	5605
159	6357	5562
160	6394	5520
161	6431	5478
162	6470	5438
163	6506	5395
164	6543	5353
165	6580	5312
166	6616	5269
167	6653	5227
168	6688	5184
169	6725	5143
170	6763	5102
171	6800	5061
172	6837	5019
173	6877	4979
174	6917	4941
175	6954	4900
176	6996	4862
177	7034	4821
178	7072	4780
179	7112	4741
180	7151	4701
181	7191	4662
182	7227	4621
183	7264	4579
184	7305	4541
185	7348	4504
186	7386	4463
187	7425	4423
188	7462	4382
189	7499	4341
190	7537	4301
191	7577	4262
192	7615	4222
193	7651	4180
194	7688	4140
195	7726	4099
196	7764	4059
197	7801	4018
198	7839	3978
199	7877	3938
200	7919	3900
201	7957	3860
202	7994	3819
203	8030	3779
204	8068	3739
205	8106	3699
206	8145	3659
207	8183	3619
208	8219	3578
209	8257	3538
210	8293	3498
211	8329	3457
212	8367	3417
213	8403	3377
214	8440	3336
215	8479	3297
216	8516	3257
217	8556	3218
218	8597	3179
219	8633	3139
220	8670	3099
221	8706	3059
222	8754	3022
223	8791	2982
224	8828	2942
225	8866	2903
226	8908	2864
227	8946	2825
228	8983	2785
229	9022	2745
230	9058	2705
231	9095	2665
232	9133	2626
233	9172	2587
234	9211	2547
235	9248	2507
236	9284	2468
237	9322	2428
238	9358	2388
239	9396	2349
240	9435	2310
241	9472	2270
242	9510	2230
243	9547	2191
244	9585	2151
245	9623	2112
246	9660	2073
247	9698	2033
248	9735	1993
249	9771	1954
250	9807	1914
251	9844	1875
252	9885	1836
253	9924	1797
254	9962	1758
255	9998	1718
256	10048	1681
257	10084	1641
258	10123	1602
259	10159	1563
260	10196	1523
261	10233	1484
262	10271	1445
263	10311	1406
264	10348	1366
265	10384	1327
266	10422	1288
267	10458	1248
268	10496	1209
269	10533	1170
270	10572	1131
271	10609	1092
272	10645	1052
273	10680	1013
274	10720	974
275	10757	935
276	10793	896
277	10829	857
278	10867	817
279	10906	779
280	10944	739
281	10979	700
282	11017	661
283	11054	622
284	11089	583
285	11127	544
286	11165	505
287	11203	466
288	11241	427
289	11278	388
290	11317	350
291	11354	311
292	11392	272
293	11429	233
294	11467	194
295	11504	155
296	11544	116
297	11580	77
298	11616	38
299	11653	0
