iter	Passed	Remaining
0	7	18597
1	13	17366
2	20	16833
3	26	16421
4	32	16163
5	37	15607
6	42	15182
7	48	15106
8	53	14890
9	58	14666
10	64	14497
11	68	14278
12	73	14123
13	78	13934
14	82	13611
15	85	13316
16	90	13234
17	94	13024
18	98	12837
19	102	12649
20	106	12590
21	110	12502
22	115	12447
23	119	12375
24	124	12302
25	128	12260
26	133	12251
27	138	12237
28	142	12168
29	146	12067
30	150	11985
31	155	11972
32	159	11955
33	163	11867
34	167	11789
35	171	11771
36	176	11718
37	179	11658
38	183	11593
39	188	11569
40	191	11500
41	195	11450
42	199	11416
43	204	11393
44	207	11342
45	211	11284
46	215	11232
47	219	11211
48	223	11170
49	227	11128
50	231	11117
51	236	11138
52	241	11172
53	246	11177
54	251	11192
55	256	11176
56	269	11559
57	274	11558
58	278	11542
59	284	11550
60	288	11527
61	292	11503
62	297	11496
63	301	11493
64	306	11479
65	311	11484
66	316	11483
67	320	11476
68	325	11461
69	329	11440
70	334	11444
71	339	11445
72	343	11409
73	347	11380
74	351	11379
75	355	11351
76	359	11315
77	363	11296
78	367	11263
79	371	11227
80	374	11189
81	378	11155
82	382	11151
83	387	11147
84	391	11110
85	394	11072
86	398	11042
87	401	11006
88	404	10970
89	408	10936
90	412	10917
91	415	10887
92	419	10853
93	422	10818
94	426	10787
95	430	10774
96	434	10760
97	437	10734
98	441	10703
99	445	10686
100	448	10656
101	451	10625
102	455	10595
103	458	10566
104	462	10550
105	465	10522
106	469	10493
107	472	10464
108	475	10441
109	479	10419
110	482	10392
111	486	10370
112	489	10340
113	493	10328
114	496	10304
115	500	10279
116	503	10254
117	506	10230
118	510	10220
119	514	10198
120	518	10185
121	521	10160
122	524	10144
123	529	10145
124	533	10138
125	537	10126
126	541	10109
127	545	10117
128	550	10116
129	554	10100
130	557	10089
131	561	10075
132	565	10065
133	568	10045
134	572	10024
135	576	10017
136	579	9999
137	583	9981
138	586	9961
139	590	9948
140	593	9933
141	597	9914
142	600	9894
143	603	9877
144	607	9871
145	611	9853
146	614	9834
147	617	9816
148	621	9800
149	625	9793
150	628	9776
151	631	9761
152	635	9749
153	640	9754
154	643	9742
155	647	9724
